#{"t_start": 1677953427.991905, "env_id": null}
r,l,t
6062.34,249,52.210943
480.23,445,53.689006
-8.19,23,53.699984
239.48,26,53.712942
244.68,357,53.89048
412.58,29,53.906438
-2377.4,339,54.08792
7974.15,318,54.244503
-425.18,101,54.294368
-3030.54,369,54.492872
-1144.08,176,55.857186
20.2,30,55.873145
6673.2,134,55.949939
1130.73,242,56.068654
442.59,29,56.083613
5219.67,298,56.244184
-538.98,78,56.282083
294.31,159,56.359842
-1279.49,184,56.4506
9156.89,316,56.607182
8340.76,228,56.724867
5690.73,115,56.790689
3833.87,81,56.830585
1769.33,228,58.287685
3208.1,141,58.362484
18428.81,289,58.504107
19496.33,508,58.79832
-21.39,30,58.813279
-113.23,43,58.837214
337.67,35,58.857164
3589.66,234,58.973882
8647.59,318,59.137449
1898.08,51,59.162376
2190.22,242,60.486801
8953.09,430,60.753091
-148.02,24,60.766087
-5489.45,614,61.087195
2003.31,199,61.183937
-250.31,88,61.22782
11122.86,327,61.387392
-1351.49,188,61.491115
4571.0,141,62.863444
1705.85,60,62.910319
1240.21,92,62.976142
-164.27,34,63.001075
616.12,67,63.035983
394.1,51,63.061914
-82.16,62,63.092832
686.82,40,63.112777
236.92,48,63.135717
296.6,38,63.155662
-28.86,32,63.17162
7508.12,397,63.378068
1609.54,46,63.401007
796.96,38,63.419956
177.89,40,63.439903
-23.55,32,63.455859
9.8,33,63.471818
4943.47,85,63.513705
753.64,35,63.531659
133.28,32,63.548612
841.98,80,63.587507
-34.75,31,63.603464
872.72,70,63.637406
4095.09,77,63.680282
386.24,29,63.694223
-169.2,37,63.713171
1106.21,49,63.737107
1302.92,53,63.76307
40.66,29,63.787005
15.42,32,63.802932
47.05,24,63.814899
-314.5,63,63.845817
1192.28,51,63.870749
261.11,68,63.90466
91.81,46,63.927597
405.51,31,63.944552
529.2,35,65.176257
-31.6,32,65.203185
3601.39,73,65.240085
-213.72,29,65.255046
2481.04,99,65.31688
1055.22,96,65.368741
3980.67,179,65.455541
47.73,25,65.467513
1216.62,123,65.539319
1364.7,39,65.558284
631.44,35,65.576188
295.9,27,65.589152
2415.22,72,65.625056
1962.13,79,65.663951
286.26,70,65.698891
344.84,46,65.721799
-320.82,41,65.742741
466.04,26,65.755708
573.38,36,65.77366
1116.85,39,65.79364
4814.42,97,65.842474
127.94,27,65.855441
-166.34,77,65.894376
21.58,24,65.906303
-61.28,27,65.91927
1292.38,60,65.94919
-620.8,85,65.991078
4000.89,88,66.043935
7408.54,154,66.122724
364.56,23,66.133695
444.29,25,66.14666
310.14,27,66.159626
-254.34,29,66.173588
3891.14,94,66.220463
788.43,45,67.468124
2353.08,86,67.521981
1491.81,117,67.597779
9747.69,186,67.703496
28.32,35,67.720451
-321.97,53,67.755358
162.74,28,67.769341
7578.88,339,67.947844
1828.3,70,67.98275
-142.91,34,68.0007
6448.55,246,68.121379
2112.68,109,68.175235
3088.16,70,68.212168
129.9,24,68.224135
1214.09,225,68.343784
1478.87,81,68.383676
18243.88,467,70.038251
198.58,41,70.064179
17.92,23,70.077146
12137.87,675,70.420227
425.32,31,70.435189
1812.28,80,70.475082
6918.34,127,70.536915
3621.73,107,70.587812
4127.39,103,70.636681
6927.18,139,70.703502
2018.53,55,70.730432
903.03,35,70.756363
944.25,91,70.80121
594.67,48,70.826143
6713.27,336,70.992698
947.13,114,72.560502
1392.4,191,72.70312
1560.92,74,72.742018
254.67,527,73.026257
491.24,25,73.04022
17519.08,502,73.29556
5401.0,161,73.386326
-86.55,31,73.401254
218.0,33,73.419205
-184.8,49,73.443143
-201.35,47,73.466081
6183.47,230,73.590747
3.09,26,73.606704
3634.18,76,75.153565
61.66,42,75.187475
18.84,34,75.214403
210.66,26,75.234349
627.34,34,75.258284
-57.96,30,75.274242
3517.46,103,75.328098
118.1,29,75.343059
107.7,23,75.355026
4953.48,89,75.401902
14884.35,258,75.541527
